,date,open,high,low,close,volume,average,barCount
0,2022-12-27 08:30:00-06:00,4000.0,4000.0,4000.0,4000.0,0.0,4000.0,0
1,2022-12-27 09:00:00-06:00,4000.0,4000.0,4000.0,4000.0,0.0,4000.0,0
2,2022-12-27 10:00:00-06:00,4000.0,4000.0,4000.0,4000.0,0.0,4000.0,0
3,2022-12-27 11:00:00-06:00,4000.0,4000.0,4000.0,4000.0,0.0,4000.0,0
4,2022-12-27 12:00:00-06:00,4000.0,4000.0,4000.0,4000.0,0.0,4000.0,0
5,2022-12-27 13:00:00-06:00,4000.0,4000.0,4000.0,4000.0,0.0,4000.0,0
6,2022-12-27 14:00:00-06:00,4000.0,4000.0,4000.0,4000.0,0.0,4000.0,0
7,2022-12-27 15:00:00-06:00,3986.0,3986.0,3986.0,3986.0,1.0,3986.0,1
8,2022-12-28 10:00:00-06:00,3955.0,3955.0,3955.0,3955.0,1.0,3955.0,1
9,2022-12-28 11:00:00-06:00,3955.0,3955.0,3955.0,3955.0,0.0,3955.0,0
10,2022-12-28 12:00:00-06:00,3955.0,3955.0,3955.0,3955.0,0.0,3955.0,0
11,2022-12-28 13:00:00-06:00,3955.0,3955.0,3955.0,3955.0,0.0,3955.0,0
12,2022-12-28 14:00:00-06:00,3955.0,3955.0,3955.0,3955.0,0.0,3955.0,0
13,2022-12-28 15:00:00-06:00,3955.0,3955.0,3955.0,3955.0,0.0,3955.0,0
14,2022-12-29 10:00:00-06:00,4015.0,4015.0,4015.0,4015.0,2.0,4015.0,1
15,2022-12-29 11:00:00-06:00,4015.0,4015.0,4015.0,4015.0,0.0,4015.0,0
16,2022-12-29 12:00:00-06:00,4015.0,4015.0,4015.0,4015.0,0.0,4015.0,0
17,2022-12-29 13:00:00-06:00,4015.0,4015.0,4015.0,4015.0,0.0,4015.0,0
18,2022-12-29 14:00:00-06:00,4010.0,4010.0,4009.0,4009.0,5.0,4009.6,4
19,2022-12-29 15:00:00-06:00,4009.0,4009.0,4009.0,4009.0,0.0,4009.0,0
20,2023-02-15 15:00:00-06:00,4295.0,4295.0,4295.0,4295.0,0.0,4295.0,0
21,2023-02-21 08:30:00-06:00,4243.0,4243.0,4243.0,4243.0,0.0,4243.0,0
22,2023-02-21 09:00:00-06:00,4243.0,4243.0,4243.0,4243.0,0.0,4243.0,0
23,2023-02-21 10:00:00-06:00,4243.0,4243.0,4243.0,4243.0,0.0,4243.0,0
24,2023-02-21 11:00:00-06:00,4243.0,4243.0,4243.0,4243.0,0.0,4243.0,0
25,2023-02-21 12:00:00-06:00,4243.0,4243.0,4243.0,4243.0,0.0,4243.0,0
26,2023-02-21 13:00:00-06:00,4243.0,4243.0,4243.0,4243.0,0.0,4243.0,0
27,2023-02-21 14:00:00-06:00,4243.0,4243.0,4243.0,4243.0,0.0,4243.0,0
28,2023-02-21 15:00:00-06:00,4243.0,4243.0,4243.0,4243.0,0.0,4243.0,0
29,2023-02-24 15:00:00-06:00,4136.25,4136.25,4136.25,4136.25,1.0,4136.25,1
30,2023-03-03 08:30:00-06:00,4158.0,4158.0,4158.0,4158.0,0.0,4158.0,0
31,2023-03-03 09:00:00-06:00,4158.0,4158.0,4158.0,4158.0,0.0,4158.0,0
32,2023-03-03 10:00:00-06:00,4158.0,4158.0,4158.0,4158.0,0.0,4158.0,0
33,2023-03-03 11:00:00-06:00,4158.0,4158.0,4158.0,4158.0,0.0,4158.0,0
34,2023-03-03 12:00:00-06:00,4158.0,4158.0,4158.0,4158.0,0.0,4158.0,0
35,2023-03-03 13:00:00-06:00,4158.0,4158.0,4158.0,4158.0,0.0,4158.0,0
36,2023-03-03 14:00:00-06:00,4158.0,4158.0,4158.0,4158.0,0.0,4158.0,0
37,2023-03-03 15:00:00-06:00,4158.0,4158.0,4158.0,4158.0,0.0,4158.0,0
38,2023-03-06 15:00:00-06:00,4211.25,4211.25,4211.25,4211.25,0.0,4211.25,0
39,2023-03-07 08:30:00-06:00,4221.0,4221.0,4221.0,4221.0,0.0,4221.0,0
40,2023-03-07 09:00:00-06:00,4221.0,4221.0,4221.0,4221.0,0.0,4221.0,0
41,2023-03-07 10:00:00-06:00,4221.0,4221.0,4221.0,4221.0,0.0,4221.0,0
42,2023-03-07 11:00:00-06:00,4221.0,4221.0,4221.0,4221.0,0.0,4221.0,0
